date,grimpeur_id,bloc_id,resultat,essais
2026-04-01,g003,b0122,reussite,1
2026-04-01,g003,b0142,reussite,1
2026-04-01,g003,b0083,echec,5
2026-04-01,g003,b0076,echec,8
2026-04-01,g003,b0005,echec,13
2026-04-01,g003,b0084,echec,10
2026-04-01,g003,b0034,echec,13
2026-04-01,g003,b0057,echec,11
2026-04-01,g003,b0066,reussite,4
2026-04-01,g003,b0073,reussite,5
2026-04-01,g003,b0006,echec,15
2026-04-01,g009,b0123,reussite,1
2026-04-01,g009,b0095,echec,10
2026-04-01,g009,b0075,reussite,2
2026-04-01,g009,b0057,echec,15
2026-04-01,g009,b0044,echec,17
2026-04-01,g009,b0016,echec,9
2026-04-01,g009,b0006,reussite,5
2026-04-01,g009,b0062,reussite,1
2026-04-01,g009,b0135,echec,6
2026-04-01,g010,b0087,echec,8
2026-04-01,g010,b0095,echec,12
2026-04-01,g010,b0045,echec,14
2026-04-01,g010,b0086,reussite,10
2026-04-01,g010,b0033,echec,3
2026-04-01,g010,b0136,reussite,3
2026-04-01,g010,b0034,echec,5
2026-04-01,g010,b0065,reussite,8
2026-04-01,g010,b0092,reussite,1
2026-04-01,g010,b0065,reussite,1
2026-04-01,g010,b0124,reussite,3
2026-04-01,g010,b0142,reussite,1
2026-04-01,g010,b0083,reussite,2
2026-04-01,g010,b0095,reussite,9
2026-04-01,g010,b0022,reussite,2
2026-04-01,g010,b0016,echec,5
2026-04-01,g010,b0126,echec,10
2026-04-01,g010,b0074,echec,12
2026-04-01,g010,b0033,reussite,2
2026-04-01,g010,b0034,reussite,7
2026-04-01,g014,b0064,reussite,1
2026-04-01,g014,b0072,reussite,1
2026-04-01,g014,b0034,echec,6
2026-04-01,g014,b0022,reussite,4
2026-04-01,g014,b0033,reussite,10
2026-04-01,g014,b0005,echec,13
2026-04-01,g014,b0107,echec,14
2026-04-01,g014,b0063,reussite,1
2026-04-01,g014,b0129,echec,13
2026-04-01,g014,b0032,reussite,1
2026-04-01,g014,b0061,reussite,1
2026-04-01,g017,b0053,echec,6
2026-04-01,g017,b0081,echec,15
2026-04-01,g017,b0142,reussite,3
2026-04-01,g017,b0104,echec,14
2026-04-01,g017,b0123,echec,7
2026-04-01,g017,b0057,echec,9
2026-04-01,g017,b0062,echec,4
2026-04-01,g027,b0122,reussite,1
2026-04-01,g027,b0083,echec,6
2026-04-01,g027,b0084,echec,17
2026-04-01,g027,b0094,echec,16
2026-04-01,g027,b0086,echec,14
2026-04-01,g027,b0074,echec,17
2026-04-01,g027,b0065,echec,17
2026-04-01,g035,b0142,reussite,1
2026-04-01,g035,b0122,echec,3
2026-04-01,g035,b0045,echec,15
2026-04-01,g035,b0072,echec,6
2026-04-01,g037,b0125,reussite,1
2026-04-01,g037,b0044,echec,6
2026-04-01,g037,b0070,echec,16
2026-04-01,g037,b0117,echec,18
2026-04-01,g037,b0074,reussite,7
2026-04-01,g037,b0129,echec,11
2026-04-01,g040,b0022,reussite,5
2026-04-01,g040,b0006,echec,12
2026-04-01,g040,b0033,reussite,5
2026-04-01,g040,b0034,echec,15
2026-04-01,g040,b0004,echec,7
2026-04-01,g040,b0005,echec,9
2026-04-01,g040,b0002,reussite,1
2026-04-01,g040,b0013,reussite,1
2026-04-01,g040,b0045,echec,6
2026-04-01,g042,b0144,reussite,1
2026-04-01,g042,b0128,echec,16
2026-04-01,g042,b0095,echec,12
2026-04-01,g042,b0005,reussite,10
2026-04-01,g042,b0004,echec,11
2026-04-01,g042,b0096,echec,16
2026-04-01,g042,b0057,echec,18
2026-04-01,g042,b0006,reussite,3
2026-04-01,g042,b0146,echec,13
2026-04-01,g042,b0045,echec,15
2026-04-01,g042,b0135,echec,15
2026-04-01,g042,b0085,echec,14
2026-04-01,g042,b0079,echec,17
2026-04-01,g046,b0071,reussite,1
2026-04-01,g046,b0053,reussite,1
2026-04-01,g046,b0022,reussite,8
2026-04-01,g046,b0104,reussite,17
2026-04-01,g046,b0082,reussite,1
2026-04-01,g046,b0125,echec,9
2026-04-01,g046,b0074,echec,13
2026-04-01,g046,b0006,echec,11
2026-04-01,g046,b0134,reussite,6
2026-04-01,g046,b0033,echec,9
2026-04-01,g046,b0016,echec,18
2026-04-01,g046,b0133,echec,15
2026-04-01,g046,b0063,reussite,1
2026-04-01,g046,b0002,reussite,1
2026-04-01,g046,b0032,reussite,2
2026-04-01,g046,b0033,echec,7
2026-04-01,g046,b0055,echec,13
2026-04-01,g046,b0034,echec,15
2026-04-01,g046,b0016,echec,6
2026-04-01,g046,b0010,reussite,1
2026-04-01,g046,b0086,echec,13
2026-04-01,g046,b0012,reussite,1
2026-04-01,g048,b0142,reussite,1
2026-04-01,g048,b0108,echec,14
2026-04-01,g048,b0016,echec,10
2026-04-01,g048,b0075,echec,11
2026-04-01,g048,b0073,reussite,10
2026-04-01,g048,b0034,echec,7
2026-04-01,g048,b0104,echec,16
2026-04-01,g048,b0048,echec,9
2026-04-01,g049,b0030,reussite,1
2026-04-01,g049,b0084,echec,14
2026-04-01,g049,b0022,echec,7
2026-04-01,g049,b0114,echec,16
2026-04-01,g049,b0074,echec,18
2026-04-01,g049,b0129,echec,7
2026-04-01,g049,b0034,echec,6
2026-04-01,g049,b0032,echec,3
2026-04-01,g049,b0013,reussite,2
2026-04-01,g053,b0142,reussite,1
2026-04-01,g053,b0066,echec,8
2026-04-01,g053,b0092,reussite,10
2026-04-01,g053,b0062,echec,6
2026-04-01,g053,b0091,reussite,2
2026-04-01,g053,b0105,echec,15
2026-04-01,g053,b0053,echec,8
2026-04-01,g053,b0080,reussite,1
2026-04-01,g053,b0123,reussite,3
2026-04-02,g009,b0136,reussite,1
2026-04-02,g009,b0055,reussite,1
2026-04-02,g009,b0073,reussite,2
2026-04-02,g009,b0034,reussite,10
2026-04-02,g009,b0081,reussite,1
2026-04-02,g009,b0083,reussite,2
2026-04-02,g009,b0092,reussite,2
2026-04-02,g009,b0033,reussite,4
2026-04-02,g009,b0145,echec,10
2026-04-02,g016,b0074,reussite,1
2026-04-02,g016,b0122,reussite,1
2026-04-02,g016,b0033,reussite,7
2026-04-02,g016,b0048,echec,17
2026-04-02,g016,b0004,echec,18
2026-04-02,g016,b0065,echec,11
2026-04-02,g016,b0016,echec,9
2026-04-02,g016,b0022,echec,6
2026-04-02,g016,b0044,echec,13
2026-04-02,g016,b0114,echec,6
2026-04-02,g016,b0034,echec,8
2026-04-02,g024,b0142,reussite,1
2026-04-02,g024,b0142,reussite,1
2026-04-02,g024,b0143,echec,3
2026-04-02,g024,b0124,echec,7
2026-04-02,g024,b0115,reussite,12
2026-04-02,g024,b0095,echec,16
2026-04-02,g024,b0063,reussite,3
2026-04-02,g024,b0054,reussite,14
2026-04-02,g024,b0066,echec,18
2026-04-02,g024,b0123,reussite,12
2026-04-02,g024,b0122,reussite,1
2026-04-02,g024,b0034,echec,12
