id,nom,gym,secteur,couleur,cotation_officielle,date_ouverture,date_retrait
b0002,CO-0002,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-01-21,2026-04-08
b0004,JO-0004,Rose Bloc Vieux-Longueuil,Joker,Bleu,V5,2026-01-21,2026-04-09
b0005,DA-0005,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-01-21,2026-04-08
b0006,CO-0006,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-01-21,2026-04-07
b0010,CO-0010,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-01-21,2026-04-05
b0012,JO-0012,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-01-21,2026-04-02
b0013,DA-0013,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-01-21,2026-04-10
b0016,JO-0016,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-01-21,2026-04-05
b0020,JO-0020,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-01-21,2026-04-10
b0021,DA-0021,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-01-21,2026-04-08
b0022,CO-0022,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-01-21,2026-04-05
b0026,CO-0026,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-01-21,2026-04-09
b0030,CO-0030,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-01-21,2026-04-11
b0032,JO-0032,Rose Bloc Vieux-Longueuil,Joker,Vert,V3,2026-01-21,2026-04-03
b0033,DA-0033,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-01-21,2026-04-06
b0034,CO-0034,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-01-21,2026-04-09
b0044,JO-0044,Rose Bloc Vieux-Longueuil,Joker,Rouge,V6,2026-01-21,2026-04-09
b0045,DA-0045,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-01-21,2026-04-02
b0046,CO-0046,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-01-21,2026-04-11
b0047,DÉ-0047,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-01-21,2026-04-11
b0048,JO-0048,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-01-21,2026-04-06
b0051,DA-0051,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-02-20,2026-04-28
b0052,CO-0052,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-02-20,2026-04-28
b0053,DÉ-0053,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-02-20,2026-04-29
b0054,JO-0054,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-02-20,2026-05-03
b0055,DA-0055,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-02-20,2026-04-29
b0056,CO-0056,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-02-20,2026-04-25
b0057,DÉ-0057,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-02-20,2026-05-01
b0058,JO-0058,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-02-20,2026-05-01
b0059,DA-0059,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-02-20,2026-05-02
b0060,CO-0060,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-02-20,2026-04-29
b0061,DÉ-0061,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-02-20,2026-05-01
b0062,JO-0062,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-02-20,2026-05-07
b0063,DA-0063,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-02-20,2026-04-24
b0064,CO-0064,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-02-20,2026-04-26
b0065,DÉ-0065,Rose Bloc Vieux-Longueuil,Dévers,Noir,V6,2026-02-20,2026-05-10
b0066,JO-0066,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-02-20,2026-05-03
b0067,DA-0067,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-02-20,2026-04-26
b0068,CO-0068,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-02-20,2026-05-04
b0069,DÉ-0069,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-02-20,2026-05-02
b0070,JO-0070,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-02-20,2026-04-28
b0071,DA-0071,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-02-20,2026-05-10
b0072,CO-0072,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-02-20,2026-04-26
b0073,DÉ-0073,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-02-20,2026-05-03
b0074,JO-0074,Rose Bloc Vieux-Longueuil,Joker,Rouge,V5,2026-02-20,2026-05-01
b0075,DA-0075,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-02-20,2026-04-30
b0076,CO-0076,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-02-20,2026-05-05
b0077,DÉ-0077,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-02-20,2026-04-23
b0078,JO-0078,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-02-20,2026-04-25
b0079,DA-0079,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-02-20,2026-05-06
b0080,CO-0080,Rose Bloc Vieux-Longueuil,Coordo,Vert,V2,2026-02-20,2026-05-07
b0081,DÉ-0081,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-02-20,2026-04-26
b0082,JO-0082,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-02-20,2026-05-02
b0083,DA-0083,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-02-20,2026-04-25
b0084,CO-0084,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-02-20,2026-05-06
b0085,DÉ-0085,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-02-20,2026-05-11
b0086,JO-0086,Rose Bloc Vieux-Longueuil,Joker,Vert,V6,2026-02-20,2026-04-25
b0087,DA-0087,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-02-20,2026-05-09
b0088,CO-0088,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-02-20,2026-04-24
b0089,DÉ-0089,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-02-20,2026-05-07
b0090,JO-0090,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-02-20,2026-05-01
